新しい,あたらしい,new
新聞,しんぶん,newspaper
新車,しんしゃ,new car
新年,しんねん,New Year
新人,しんじん,newcomer/new employee
馬,うま,horse
馬車,ばしゃ,carriage/horse-drawn cart
駅,えき,station
魚,さかな,fish
魚屋,さかなや,fishmonger/fish shop
(お)米,おこめ,rice
来る,くる,to come
来週,らいしゅう,next week
来年,らいねん,next year
雨,あめ,rain
大雨,おおあめ,heavy rain
梅雨,つゆ,rainy season
電気,でんき,electricity/light
電車,でんしゃ,train
電話,でんわ,telephone
電報,でんぽう,telegram
電灯,でんとう,electric light
天気,てんき,weather
気分,きぶん,feeling/mood
車,くるま,car
電車,でんしゃ,train
駐車場,ちゅうしゃじょう,parking lot
空,そら,sky
空気,くうき,air
空港,くうこう,airport
内田さん,うちださん,Mr./Ms. Uchida
家内,かない,my wife
長い,ながい,long
社長,しゃちょう,company president
校長,こうちょう,school principal
長男,ちょうなん,eldest son
長女,ちょうじょ,eldest daughter
学校,がっこう,school
小学校,しょうがっこう,elementary school
中学校,ちゅうがっこう,junior high school
高校,こうこう,high school
高校生,こうこうせい,high school student
会う,あう,to meet
会社,かいしゃ,company
会議,かいぎ,meeting
会話,かいわ,conversation
(お)寺,おてら,temple
東大寺,とうだいじ,Tōdai-ji Temple (Nara)
待つ,まつ,to wait
待合室,まちあいしつ,waiting room
招待する,しょうたいする,to invite
時々,ときどき,sometimes
時計,とけい,watch/clock
時間,じかん,time/hours
四時,よじ,four o'clock
